,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2016-03-18-dayton,47.6,10,5.9,2,79.7,75.0,30,0.472,53,0.396,21,0.434,23,0.87,20,13,200,109.4,46.9,15,17,70,10,10.9,7,0.415,22,0.364,8,62.5,45,0.548,19.2,15,31,0.419,13,0.606,20,"March 18, 2016",61.1,11,9.7,3,109.4,53.1,17,0.375,56,0.321,18,0.339,19,0.474,9,8,200,79.7,25.0,10,16,51,7,10.9,7,0.393,22,0.273,6,37.5,27,0.392,12.3,9,34,0.353,12,0.758,25,"Scottrade Center, St. Louis, Missouri",DAYTON,Dayton,64.0,Away,SYRACUSE,Syracuse
2016-03-20-syracuse,42.1,8,6.9,2,121.0,71.4,15,0.359,64,0.297,19,0.125,8,0.5,4,10,200,80.6,36.4,16,15,50,15,6.5,4,0.375,24,0.333,8,47.7,31,0.369,11.8,9,40,0.275,11,0.714,25,"March 20, 2016",51.9,14,27.5,11,80.6,63.6,28,0.633,49,0.551,27,0.449,22,0.591,13,13,200,121.0,28.6,6,9,75,10,9.7,6,0.408,20,0.4,8,52.3,34,0.631,14.6,10,29,0.655,19,0.618,21,"Scottrade Center, St. Louis, Missouri",MIDDLE-TENNESSEE,Middle Tennessee,62.1,Home,SYRACUSE,Syracuse
2016-03-25-syracuse,75.0,18,17.4,8,98.4,65.7,23,0.509,55,0.436,24,0.091,5,0.8,4,8,200,93.8,37.0,10,14,60,11,6.3,4,0.382,21,0.381,8,53.2,33,0.523,20.8,15,34,0.471,16,0.778,28,"March 25, 2016",40.9,9,29.4,10,93.8,63.0,17,0.402,61,0.361,22,0.262,16,0.875,14,13,200,98.4,34.3,12,12,63,10,14.1,9,0.246,15,0.333,5,46.8,29,0.459,11.7,9,46,0.37,17,0.629,22,"United Center, Chicago, Illinois",GONZAGA,Gonzaga,64.0,Home,SYRACUSE,Syracuse
2016-03-27-virginia,47.6,10,21.9,7,95.4,81.5,22,0.421,57,0.368,21,0.439,25,0.8,20,13,200,104.6,32.4,12,15,68,10,16.9,11,0.316,18,0.333,6,53.1,34,0.494,9.3,7,39,0.385,15,0.639,23,"March 27, 2016",95.5,21,20.5,8,104.6,67.6,25,0.491,53,0.415,22,0.226,12,0.833,10,8,200,95.4,18.5,5,16,62,1,4.6,3,0.396,21,0.381,8,46.9,30,0.528,18.2,13,32,0.438,14,0.784,29,"United Center, Chicago, Illinois",VIRGINIA,Virginia,65.3,Away,SYRACUSE,Syracuse
2016-04-02-north-carolina,18.5,5,8.3,4,125.8,48.4,15,0.47,66,0.409,27,0.197,13,0.308,4,14,200,100.0,37.2,16,15,66,10,12.1,8,0.379,25,0.32,8,41.9,31,0.457,12.2,10,41,0.463,19,0.622,23,"April 2, 2016",51.4,18,12.2,5,100.0,62.8,27,0.569,65,0.538,35,0.169,11,0.818,9,6,200,125.8,51.6,16,12,83,1,9.1,6,0.262,17,0.235,4,58.1,43,0.591,14.7,12,48,0.646,31,0.846,33,National - National Semifinal,SYRACUSE,Syracuse,66.2,Home,NORTH-CAROLINA,UNC
2015-03-20-georgia,69.2,18,7.0,3,88.7,73.7,28,0.518,57,0.456,26,0.333,19,0.579,11,11,200,98.6,15.2,5,22,70,7,11.3,8,0.316,18,0.389,7,46.5,33,0.53,12.1,9,39,0.487,19,0.686,24,"March 20, 2015",42.1,8,5.1,2,98.6,84.8,28,0.368,57,0.333,19,0.456,26,0.808,21,12,200,88.7,26.3,10,19,63,10,5.6,4,0.246,14,0.286,4,53.5,38,0.454,14.9,12,43,0.349,15,0.636,21,"Spectrum Center, Charlotte, North Carolina",GEORGIA,Georgia,70.7,Away,MICHIGAN-STATE,Michigan State
2015-03-22-michigan-state,35.3,6,10.7,3,107.1,73.1,19,0.316,57,0.298,17,0.456,26,0.692,18,4,200,96.4,42.5,17,18,54,2,3.6,2,0.298,17,0.118,2,54.5,36,0.389,6.8,5,40,0.375,15,0.882,30,"March 22, 2015",41.2,7,17.5,7,96.4,57.5,23,0.5,40,0.425,17,0.825,33,0.606,20,11,200,107.1,26.9,7,19,60,7,7.1,4,0.3,12,0.5,6,45.5,30,0.539,9.9,6,28,0.393,11,0.694,25,"Spectrum Center, Charlotte, North Carolina",VIRGINIA,Virginia,56.0,Home,MICHIGAN-STATE,Michigan State
2015-03-27-michigan-state,35.0,7,13.3,4,110.7,58.8,20,0.4,55,0.364,20,0.291,16,0.875,14,11,200,103.6,41.2,14,16,58,3,3.6,2,0.309,17,0.235,4,50.0,34,0.463,10.1,7,38,0.421,16,0.686,24,"March 27, 2015",40.9,9,2.6,1,103.6,58.8,20,0.465,57,0.386,22,0.281,16,0.563,9,11,200,110.7,41.2,14,16,62,7,1.8,1,0.474,27,0.333,9,50.0,34,0.48,7.2,5,30,0.433,13,0.703,26,"Carrier Dome, Syracuse, New York",OKLAHOMA,Oklahoma,55.6,Home,MICHIGAN-STATE,Michigan State
2015-03-29-louisville,76.9,20,13.2,7,94.6,70.0,28,0.508,60,0.433,26,0.333,20,0.75,15,11,225,102.7,22.6,7,22,76,7,6.8,5,0.383,23,0.391,9,49.3,35,0.547,12.7,10,37,0.459,17,0.711,27,"March 29, 2015",43.5,10,16.2,6,102.7,77.4,24,0.391,64,0.359,23,0.453,29,0.69,20,9,225,94.6,30.0,12,16,70,4,8.1,6,0.172,11,0.364,4,50.7,36,0.45,10.5,9,53,0.358,19,0.75,27,"Carrier Dome, Syracuse, New York",LOUISVILLE,Louisville,65.5,Away,MICHIGAN-STATE,Michigan State
2015-04-04-duke,45.5,10,7.5,3,117.4,76.7,23,0.464,55,0.4,22,0.291,16,0.625,10,12,200,88.4,21.6,8,28,61,7,5.8,4,0.364,20,0.35,7,46.3,31,0.487,18.4,14,35,0.429,15,0.692,27,"April 4, 2015",38.5,10,11.4,4,88.4,78.4,29,0.54,50,0.52,26,0.74,37,0.73,27,4,200,117.4,23.3,7,18,81,1,13.0,9,0.2,10,0.2,2,53.7,36,0.599,10.8,8,40,0.6,24,0.895,34,"Lucas Oil Stadium, Indianapolis, Indiana",MICHIGAN-STATE,Michigan State,68.6,Home,DUKE,Duke
