Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
IPFW,26.1,0.363,21,0.328,60.9,0.534,57.6,0.528,17.5,17,18.9,18.8,0.701,10.5,15.9,73.9,6.9,8.3,22,26.4,0.613,0.571,-4.5
IUPUI,13.4,0.247,21.7,0.378,55.1,0.495,57.6,0.591,17.4,16.2,18.3,19.2,0.723,14.7,12.6,70.2,7.9,9.6,18.4,21.8,0.103,0,-9.4
Jackson St,20.2,0.329,23.2,0.354,60,0.464,58.4,0.523,17.1,17.5,20.8,20,0.703,13.5,13.3,72.3,10.9,9.2,22.4,23.3,0.484,0.857,-6
Jacksonville,18.7,0.338,22.9,0.357,56.6,0.477,55.9,0.515,20,17.5,20.5,22.6,0.706,13,11.8,69.4,10.2,8.8,22.1,20.6,0.433,0.5,-4.9
James Mad,23.9,0.359,20.3,0.286,62.6,0.54,58.4,0.49,17.5,17.6,21.5,20.2,0.705,10.7,14.4,74,9.7,8.3,25.3,22.9,0.906,0.833,-1.3
Jksnville St,15.7,0.32,19.4,0.343,55.1,0.48,53.7,0.492,17,17.5,20.5,19.2,0.697,13.5,12.1,68.2,9.7,7.2,22.7,21.2,0.393,0.3,-3.1
Kansas,16.9,0.341,24.7,0.338,57.2,0.553,59.6,0.456,14.8,16.4,19.1,17.4,0.729,11.5,11.8,71.2,7.2,8,25.3,22.3,0.7,0.667,11.7
UMKC,25.5,0.334,19.9,0.324,58.8,0.489,53.2,0.527,20.2,17.1,17.2,24,0.726,12.2,11.8,70,9.3,6.3,23.1,22.2,0.448,0.5,-4.6
Kansas St,23.5,0.318,22.5,0.313,56.5,0.518,61.1,0.461,17.3,18.3,21.5,19.3,0.726,14.9,11.4,71.9,9.4,10.1,24.2,21,0.581,0.636,9
Kennesaw St,27.3,0.329,24,0.372,64.2,0.53,60.8,0.513,20.8,19.9,22.8,26.3,0.677,12.1,13.3,77.5,9.8,9,23.5,25.5,0.429,0.636,-4.7
Kent State,23.5,0.361,22.3,0.337,59.2,0.485,56.4,0.53,18.2,17.2,19.3,19.8,0.747,12.1,13,71.1,9,8.1,21.2,22,0.448,0.2,-2.1
Kentucky,24,0.412,25.9,0.323,64.9,0.547,64.7,0.498,17.3,17,19.6,21.4,0.774,10.5,12.2,76.9,8.3,9.7,26,23.5,0.742,0.444,9.5
La Salle,24.8,0.343,19.4,0.354,61.6,0.479,59.4,0.5,16.7,15.5,15.4,19.4,0.721,9.9,10.7,70.7,7.6,9.1,22.2,25.1,0.467,0.75,-0.7
LA Tech,19.3,0.357,20.9,0.332,54.9,0.494,57.5,0.432,16,19,23.4,18.3,0.702,12.8,11.9,69.5,9.9,8,25,20.9,0.679,0.375,-0.3
Lafayette,22.8,0.312,21.7,0.343,56.9,0.47,56.4,0.466,16.5,14.6,13.6,17.8,0.682,11.6,11.5,67.9,7,8.4,22.9,25.2,0.323,0.444,-5.5
Lamar,21.2,0.354,23.7,0.337,61.1,0.502,58.7,0.483,18.7,18.3,20,22.9,0.727,12.8,13.9,73.1,10.4,10.2,23.7,22.7,0.552,0.444,-7
Le Moyne,27.8,0.341,25.4,0.334,58.5,0.492,59.1,0.51,15.7,14.1,14.8,16.4,0.765,11.4,12.2,70,7,9.2,23.5,25.6,0.414,0.5,-8.5
Lehigh,21.6,0.329,21.8,0.361,57.9,0.501,58.5,0.5,16.8,17.6,19.5,17.3,0.745,12.1,12.8,72.7,6.4,6.9,24.9,26.4,0.414,0.333,-5.5
Lg Beach St,17.2,0.306,26.5,0.358,61.3,0.498,60,0.5,17.4,20.4,23.4,19.8,0.702,12.9,14.1,74.7,10.6,8.8,23.8,22.6,0.533,0.571,-2.1
Liberty,26.7,0.354,18.4,0.327,56.9,0.553,55.5,0.518,15.6,16.3,15.3,16.6,0.668,10.6,11.2,67.7,6.8,7.1,22.9,23.7,0.536,0.429,-0.6
Lindenwood,17,0.29,20.4,0.376,55.3,0.432,54.6,0.525,18.3,18.4,21.2,21.9,0.728,12.1,12.1,69.7,7.1,8,21.2,26.1,0.214,0.75,-10
Lipscomb,23.9,0.381,22.9,0.365,60.1,0.557,62.6,0.528,13.1,15.4,16.5,14.3,0.778,10,11.3,71.7,6.2,9.1,23.2,23.7,0.6,0.5,-3
LIU,17.4,0.31,20.3,0.311,58.3,0.463,59.1,0.53,19.2,15.9,18.3,24.2,0.677,14.4,11.4,73.3,7.8,9,24,26.1,0.241,0.667,-6.7
Longwood,16.1,0.337,21.2,0.343,56.7,0.489,54,0.51,18,19.6,22.2,19.6,0.687,12.4,13.5,68.8,11.4,7.5,22.3,20.4,0.581,0.5,-4
LA Lafayette,22.1,0.326,18.2,0.279,61,0.517,56.6,0.537,18.2,16.1,17.5,22.7,0.738,11.8,14.5,72.2,9.2,9.4,21.5,23,0.548,0,-1.5
Louisville,17.8,0.298,23.3,0.372,57.3,0.493,59.3,0.536,16.8,19.2,22.6,19.3,0.742,12.7,11.5,71.9,8.7,8.2,24,24.8,0.258,0.5,3.9
Loyola Mymt,22.8,0.368,18.6,0.343,57.3,0.492,58.8,0.498,15.9,15.4,16.5,16.7,0.735,10.8,8.1,67.1,8.8,7.8,23.1,22,0.367,0.286,-0.4
Loyola-Chi,23.1,0.355,20.5,0.346,56.3,0.519,56.5,0.434,19.3,17.1,18.9,20.1,0.684,13,12.2,71.2,7.1,7,24.7,23,0.733,0.8,1.8
Loyola-MD,21.5,0.327,20.5,0.356,55.5,0.461,55.9,0.533,16.3,16.7,16.7,18.2,0.642,13.5,10.4,68.1,8.5,7.2,22.5,23.4,0.194,0.444,-6.7
LSU,21.7,0.353,25,0.333,58,0.52,60.2,0.492,17.4,17.5,22.5,19.9,0.719,13.1,13,72.9,9.2,9.5,23.9,21.8,0.548,0.5,6.8
Maine,18.2,0.297,18.5,0.323,56.5,0.492,55.6,0.506,16.4,15.3,16.9,17.9,0.722,11.4,13.1,69.2,6.5,8.2,22.4,25.1,0.452,0.143,-3.3
Manhattan,23.4,0.311,20.1,0.367,60,0.475,60.5,0.524,14,13.8,13.1,16.5,0.717,13.5,12,71.7,7.7,9,21.9,26.4,0.214,0.5,-5.6
Marist,19.5,0.352,20.2,0.323,53.2,0.494,52.6,0.464,16.3,15.4,15.8,18.5,0.688,11.9,13.6,66.7,6.3,8,23.6,22.9,0.586,0.571,-5.2
Marquette,25.1,0.356,24.4,0.345,61.2,0.574,57.9,0.488,15.2,14.4,15.5,15.8,0.708,10.2,15.1,71.2,7.8,9.1,22.4,23.1,0.742,0.714,11.5
Marshall,26.4,0.31,21.9,0.362,63.9,0.471,62.1,0.498,16.1,16.2,18.4,18.6,0.706,11.9,11.7,74.1,10.2,8.8,24.7,26.7,0.375,0.429,-1.4
Maryland,21.3,0.284,16.2,0.316,56.4,0.492,55,0.461,17.6,19.1,23.5,18.9,0.721,11.5,12.6,68.6,10.3,8.1,22.2,22.9,0.484,0.091,8.3
Maryland BC,22.4,0.354,24.4,0.313,64,0.526,67,0.522,15.7,15.6,15.4,18.9,0.709,13.1,11.2,76.8,7.6,10.5,25.5,25.8,0.323,0.357,-4.7
Maryland ES,19.8,0.282,20.8,0.325,56.8,0.426,57.2,0.52,17.8,16.2,18.3,21,0.717,13.9,12.9,70.2,9,10,21.2,25.9,0.208,0.333,-9.7
Mass Lowell,17.4,0.323,21.3,0.294,59.1,0.518,63.9,0.49,15.6,18.6,23.4,17.1,0.742,13.3,11.3,74.3,9.4,9,26.5,22.2,0.667,0.6,-4
McNeese St,19.3,0.392,25.6,0.329,57.3,0.522,53.8,0.458,17.9,18.4,22.6,17.9,0.695,9.7,15.4,68.3,9.6,9.3,23.2,21.4,0.889,0.6,-4
Memphis,23.5,0.353,26.8,0.341,60.7,0.533,62.6,0.49,17.4,18.7,22.5,18.8,0.725,13.3,13.9,74.5,10.5,10.6,23.2,22,0.71,0.692,5
